证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额,结算价
IM00C1,IM当月连续,2022-07-22,"7,050.0000","7,085.2000","6,857.0000","6,956.6000",——,——,"22,153","30,919,133,184","6,934.2000"
IM00C1,IM当月连续,2022-07-25,"6,974.2000","7,015.8000","6,850.0000","6,878.6000",-78.0000,-1.1212,"22,883","31,699,704,832","6,885.8000"
IM00C1,IM当月连续,2022-07-26,"6,898.0000","6,994.0000","6,844.8000","6,991.0000",112.3999,1.6341,"19,269","26,712,005,888","6,964.4000"
IM00C1,IM当月连续,2022-07-27,"6,982.0000","7,074.4000","6,965.2000","7,066.2000",75.2002,1.0757,"19,290","27,113,992,704","7,059.4000"
IM00C1,IM当月连续,2022-07-28,"7,110.0000","7,171.4000","7,072.4000","7,119.0000",52.7998,0.7472,"22,464","31,993,809,920","7,112.4000"
IM00C1,IM当月连续,2022-07-29,"7,130.0000","7,152.0000","7,068.0000","7,087.0000",-32.0000,-0.4495,"25,025","35,560,145,152","7,090.2000"
IM00C1,IM当月连续,2022-08-01,"7,070.2000","7,141.0000","7,004.4000","7,136.6000",49.6001,0.6999,"22,084","31,309,930,240","7,130.0000"
IM00C1,IM当月连续,2022-08-02,"7,070.0000","7,075.0000","6,820.4000","6,948.2000",-188.3999,-2.6399,"37,753","52,450,615,808","6,975.4000"
IM00C1,IM当月连续,2022-08-03,"6,990.0000","7,062.0000","6,860.8000","6,882.8000",-65.4004,-0.9413,"32,325","45,204,820,736","6,914.6000"
IM00C1,IM当月连续,2022-08-04,"6,933.0000","6,942.8000","6,778.2000","6,890.8000",8.0000,0.1162,"35,394","48,615,528,448","6,872.0000"
IM00C1,IM当月连续,2022-08-05,"6,903.4000","7,080.8000","6,903.4000","7,080.0000",189.2002,2.7457,"31,492","43,993,596,160","7,051.4000"
IM00C1,IM当月连续,2022-08-08,"7,060.0000","7,145.0000","7,039.6000","7,132.2000",52.2002,0.7373,"20,853","29,596,276,992","7,130.6000"
IM00C1,IM当月连续,2022-08-09,"7,120.0000","7,164.8000","7,084.4000","7,160.6000",28.3999,0.3982,"18,871","26,903,698,176","7,154.4000"
IM00C1,IM当月连续,2022-08-10,"7,138.0000","7,202.0000","7,130.0000","7,168.4000",7.7998,0.1089,"21,848","31,324,244,480","7,158.2000"
IM00C1,IM当月连续,2022-08-11,"7,201.4000","7,287.6000","7,179.6000","7,284.8000",116.3999,1.6238,"22,671","32,833,462,016","7,278.6000"
IM00C1,IM当月连续,2022-08-12,"7,275.0000","7,306.0000","7,205.4000","7,222.4000",-62.3999,-0.8566,"19,678","28,577,350,400","7,228.8000"
IM00C1,IM当月连续,2022-08-15,"7,210.0000","7,297.6000","7,206.0000","7,266.0000",43.6001,0.6037,"20,698","30,046,053,120","7,262.4000"
IM00C1,IM当月连续,2022-08-16,"7,275.0000","7,361.4000","7,257.2000","7,311.0000",45.0000,0.6193,"21,099","30,856,338,944","7,305.6000"
IM00C1,IM当月连续,2022-08-17,"7,317.0000","7,346.4000","7,263.8000","7,327.6000",16.6001,0.2271,"18,274","26,712,226,560","7,325.8000"
IM00C1,IM当月连续,2022-08-18,"7,320.0000","7,370.4000","7,303.0000","7,358.8000",31.1997,0.4258,"14,405","21,120,734,208","7,352.0000"
IM00C1,IM当月连续,2022-08-19,"7,350.2000","7,377.8000","7,272.4000","7,277.8000",-81.0000,-1.1007,"8,968","13,117,623,296","7,277.4600"
IM00C1,IM当月连续,2022-08-22,"7,179.8000","7,252.8000","7,119.4000","7,232.4000",-45.3999,-0.6238,"27,615","39,756,292,352","7,239.4000"
IM00C1,IM当月连续,2022-08-23,"7,224.0000","7,259.8000","7,208.6000","7,253.6000",21.2002,0.2931,"25,221","36,499,230,208","7,241.0000"
IM00C1,IM当月连续,2022-08-24,"7,263.0000","7,277.0000","6,951.4000","6,969.8000",-283.8003,-3.9125,"43,723","61,845,527,552","6,977.6000"
IM00C1,IM当月连续,2022-08-25,"6,995.0000","6,999.0000","6,865.0000","6,940.4000",-29.3999,-0.4218,"40,047","55,498,285,312","6,913.8000"
IM00C1,IM当月连续,2022-08-26,"6,968.6000","7,032.0000","6,886.4000","6,911.6000",-28.7998,-0.4150,"34,552","48,143,010,048","6,911.6000"
IM00C1,IM当月连续,2022-08-29,"6,810.0000","6,979.0000","6,805.0000","6,950.0000",38.3999,0.5556,"35,892","49,681,137,408","6,953.8000"
IM00C1,IM当月连续,2022-08-30,"6,954.2000","6,965.4000","6,887.2000","6,941.0000",-9.0000,-0.1295,"30,897","42,825,910,016","6,932.4000"
IM00C1,IM当月连续,2022-08-31,"6,918.4000","6,931.8000","6,699.0000","6,710.2000",-230.7998,-3.3252,"47,768","64,880,654,336","6,731.0000"
IM00C1,IM当月连续,2022-09-01,"6,720.0000","6,787.2000","6,649.8000","6,682.6000",-27.6001,-0.4113,"38,108","51,232,136,192","6,679.2000"
IM00C1,IM当月连续,2022-09-02,"6,706.4000","6,773.4000","6,669.8000","6,730.2000",47.6001,0.7123,"34,760","46,762,576,896","6,725.4000"
IM00C1,IM当月连续,2022-09-05,"6,726.4000","6,810.8000","6,691.8000","6,747.2000",17.0000,0.2526,"30,586","41,273,071,872","6,738.2000"
IM00C1,IM当月连续,2022-09-06,"6,770.0000","6,885.0000","6,738.0000","6,879.8000",132.5996,1.9653,"33,895","46,230,111,488","6,865.8000"
IM00C1,IM当月连续,2022-09-07,"6,851.0000","6,954.0000","6,851.0000","6,920.2000",40.4004,0.5872,"27,172","37,568,989,184","6,917.8000"
IM00C1,IM当月连续,2022-09-08,"6,921.4000","6,944.8000","6,864.0000","6,874.4000",-45.8003,-0.6618,"24,336","33,572,291,328","6,875.6000"
IM00C1,IM当月连续,2022-09-09,"6,893.0000","6,918.8000","6,836.2000","6,913.0000",38.6001,0.5615,"31,079","42,791,048,960","6,910.2000"
IM00C1,IM当月连续,2022-09-13,"6,935.2000","6,957.6000","6,872.0000","6,891.4000",-21.6001,-0.3125,"26,519","36,630,507,776","6,888.0000"
IM00C1,IM当月连续,2022-09-14,"6,810.0000","6,851.0000","6,784.8000","6,826.0000",-65.3999,-0.9490,"27,940","38,109,747,968","6,822.4000"
IM00C1,IM当月连续,2022-09-15,"6,855.4000","6,860.0000","6,524.4000","6,596.4000",-229.6001,-3.3636,"29,581","39,519,680,256","6,575.4000"
IM00C1,IM当月连续,2022-09-16,"6,588.0000","6,629.6000","6,521.2000","6,529.4000",-67.0000,-1.0157,"15,795","20,795,375,616","6,530.2700"
IM00C1,IM当月连续,2022-09-19,"6,373.0000","6,428.2000","6,257.0000","6,298.2000",-231.1997,-3.5409,"41,542","52,649,422,080","6,298.2000"
IM00C1,IM当月连续,2022-09-20,"6,361.0000","6,464.8000","6,343.0000","6,388.8000",90.5996,1.4385,"37,253","47,635,121,152","6,372.2000"
IM00C1,IM当月连续,2022-09-21,"6,368.0000","6,447.6000","6,303.0000","6,412.6000",23.8003,0.3725,"39,329","50,217,050,368","6,424.4000"
IM00C1,IM当月连续,2022-09-22,"6,373.4000","6,506.8000","6,368.0000","6,435.8000",23.1997,0.3618,"40,306","51,943,046,912","6,438.4000"
IM00C1,IM当月连续,2022-09-23,"6,437.0000","6,458.8000","6,246.0000","6,323.4000",-112.3999,-1.7465,"55,619","70,591,070,208","6,333.4000"
IM00C1,IM当月连续,2022-09-26,"6,288.0000","6,391.0000","6,251.2000","6,255.0000",-68.3999,-1.0817,"41,247","52,076,104,704","6,273.8000"
IM00C1,IM当月连续,2022-09-27,"6,289.0000","6,405.0000","6,270.8000","6,398.8000",143.7998,2.2990,"41,677","52,761,171,456","6,377.4000"
IM00C1,IM当月连续,2022-09-28,"6,380.2000","6,393.2000","6,201.2000","6,202.6000",-196.1997,-3.0662,"48,495","60,958,021,376","6,240.2000"
IM00C1,IM当月连续,2022-09-29,"6,275.0000","6,308.0000","6,180.2000","6,232.4000",29.7998,0.4804,"44,555","55,750,742,528","6,215.0000"
IM00C1,IM当月连续,2022-09-30,"6,242.0000","6,247.4000","6,098.2000","6,103.0000",-129.3999,-2.0762,"42,514","52,419,196,928","6,122.4000"
IM00C1,IM当月连续,2022-10-10,"6,121.6000","6,142.8000","5,941.4000","5,976.0000",-127.0000,-2.0809,"35,148","42,549,522,688","5,978.0000"
IM00C1,IM当月连续,2022-10-11,"5,990.0000","6,030.0000","5,935.0000","5,994.2000",18.2002,0.3046,"35,293","42,266,611,968","5,996.6000"
IM00C1,IM当月连续,2022-10-12,"5,985.6000","6,182.4000","5,895.2000","6,169.2000",175.0000,2.9195,"51,182","61,536,059,648","6,135.0000"
IM00C1,IM当月连续,2022-10-13,"6,147.6000","6,305.0000","6,142.2000","6,242.4000",73.1997,1.1865,"39,115","48,794,512,128","6,245.0000"
IM00C1,IM当月连续,2022-10-14,"6,300.0000","6,437.4000","6,273.2000","6,418.0000",175.6001,2.8130,"39,202","49,926,799,616","6,411.0000"
IM00C1,IM当月连续,2022-10-17,"6,400.0000","6,487.4000","6,396.8000","6,448.0000",30.0000,0.4674,"31,880","41,039,045,376","6,466.6000"
IM00C1,IM当月连续,2022-10-18,"6,466.0000","6,547.8000","6,432.4000","6,497.2000",49.2002,0.7630,"30,270","39,276,953,088","6,491.4000"
IM00C1,IM当月连续,2022-10-19,"6,477.0000","6,545.0000","6,452.4000","6,462.4000",-34.8003,-0.5356,"29,061","37,745,193,472","6,470.8000"
IM00C1,IM当月连续,2022-10-20,"6,435.2000","6,543.8000","6,328.6000","6,445.8000",-16.6001,-0.2569,"28,712","36,848,002,560","6,443.4000"
IM00C1,IM当月连续,2022-10-21,"6,431.2000","6,490.4000","6,389.8000","6,440.0000",-5.7998,-0.0900,"13,513","17,405,300,736","6,440.0800"
IM00C1,IM当月连续,2022-10-24,"6,370.0000","6,554.4000","6,267.0000","6,360.0000",-80.0000,-1.2422,"52,094","66,782,098,176","6,332.2000"
IM00C1,IM当月连续,2022-10-25,"6,340.0000","6,389.0000","6,212.4000","6,340.8000",-19.2002,-0.3019,"51,852","65,367,152,640","6,342.4000"
IM00C1,IM当月连续,2022-10-26,"6,348.2000","6,578.0000","6,336.2000","6,500.6000",159.8003,2.5202,"59,542","77,135,290,368","6,476.2000"
IM00C1,IM当月连续,2022-10-27,"6,534.2000","6,560.0000","6,453.0000","6,473.0000",-27.6001,-0.4246,"42,741","55,643,532,800","6,484.8000"
IM00C1,IM当月连续,2022-10-28,"6,426.2000","6,462.6000","6,202.0000","6,224.2000",-248.7998,-3.8437,"51,221","64,956,595,200","6,250.8000"
IM00C1,IM当月连续,2022-10-31,"6,203.0000","6,360.0000","6,185.4000","6,286.6000",62.3999,1.0025,"48,429","60,785,700,096","6,274.2000"
IM00C1,IM当月连续,2022-11-01,"6,317.0000","6,471.0000","6,271.4000","6,471.0000",184.3999,2.9332,"50,479","64,307,019,520","6,429.8000"
IM00C1,IM当月连续,2022-11-02,"6,459.0000","6,561.8000","6,447.0000","6,532.0000",61.0000,0.9427,"35,874","46,686,822,656","6,528.8000"
IM00C1,IM当月连续,2022-11-03,"6,493.0000","6,589.0000","6,493.0000","6,563.4000",31.3999,0.4807,"33,815","44,287,204,096","6,567.2000"
IM00C1,IM当月连续,2022-11-04,"6,588.0000","6,750.8000","6,564.2000","6,746.6000",183.2002,2.7912,"43,107","57,508,938,240","6,731.2000"
IM00C1,IM当月连续,2022-11-07,"6,731.4000","6,777.0000","6,661.0000","6,711.8000",-34.8003,-0.5158,"37,120","49,904,274,432","6,717.0000"
IM00C1,IM当月连续,2022-11-08,"6,045.4000","6,717.8000","6,045.4000","6,707.6000",-4.1997,-0.0626,"28,811","38,454,503,680","6,688.4000"
IM00C1,IM当月连续,2022-11-09,"6,700.4000","6,748.0000","6,660.0000","6,674.8000",-32.8003,-0.4890,"29,093","38,949,379,328","6,683.2000"
IM00C1,IM当月连续,2022-11-10,"6,638.0000","6,667.0000","6,584.0000","6,616.0000",-58.7998,-0.8809,"33,758","44,718,753,536","6,619.2000"
IM00C1,IM当月连续,2022-11-11,"6,800.0000","6,811.6000","6,641.8000","6,645.0000",29.0000,0.4383,"45,127","60,669,142,016","6,685.8000"
IM00C1,IM当月连续,2022-11-14,"6,668.0000","6,714.0000","6,565.6000","6,592.2000",-52.7998,-0.7946,"36,933","49,032,518,400","6,588.0000"
IM00C1,IM当月连续,2022-11-15,"6,595.0000","6,753.2000","6,582.6000","6,753.0000",160.7998,2.4392,"33,028","44,193,267,968","6,738.0000"
IM00C1,IM当月连续,2022-11-16,"6,747.8000","6,774.6000","6,691.6000","6,698.2000",-54.7998,-0.8115,"23,921","32,190,969,856","6,702.0000"
IM00C1,IM当月连续,2022-11-17,"6,682.4000","6,722.0000","6,634.0000","6,715.2000",17.0000,0.2538,"20,540","27,368,858,368","6,691.2000"
IM00C1,IM当月连续,2022-11-18,"6,740.2000","6,760.6000","6,698.0000","6,699.4000",-15.8003,-0.2353,"11,336","15,249,217,280","6,699.6900"
IM00C1,IM当月连续,2022-11-21,"6,606.2000","6,695.8000","6,581.2000","6,685.0000",-14.3999,-0.2149,"39,569","52,600,869,632","6,685.4000"
IM00C1,IM当月连续,2022-11-22,"6,674.0000","6,686.8000","6,514.4000","6,557.2000",-127.7998,-1.9117,"51,946","68,654,716,672","6,545.6000"
IM00C1,IM当月连续,2022-11-23,"6,563.0000","6,584.0000","6,422.2000","6,553.4000",-3.8003,-0.0580,"49,857","64,933,679,872","6,546.6000"
IM00C1,IM当月连续,2022-11-24,"6,570.0000","6,595.6000","6,520.4000","6,559.2000",5.8003,0.0885,"38,327","50,297,820,416","6,564.6000"
IM00C1,IM当月连续,2022-11-25,"6,545.2000","6,553.8000","6,485.8000","6,497.0000",-62.2002,-0.9483,"35,966","46,854,427,648","6,501.8000"
IM00C1,IM当月连续,2022-11-28,"6,424.2000","6,500.6000","6,371.4000","6,492.0000",-5.0000,-0.0770,"42,689","55,132,609,280","6,480.8000"
IM00C1,IM当月连续,2022-11-29,"6,502.0000","6,632.8000","6,501.0000","6,597.0000",105.0000,1.6174,"41,900","55,040,640,256","6,598.8000"
IM00C1,IM当月连续,2022-11-30,"6,600.2000","6,623.0000","6,555.4000","6,582.8000",-14.2002,-0.2153,"31,915","42,088,633,088","6,572.6000"
IM00C1,IM当月连续,2022-12-01,"6,656.0000","6,713.8000","6,637.8000","6,662.0000",79.2002,1.2031,"34,834","46,527,782,656","6,673.0000"
